BDPONO_PurchaseOrderNumber,BDVNDR_VendorCode,VNAME_VendorName,BDRECD_RecordFlag,BDITEM_ItemNumber,BDCRTD_CreationDate,BDRPDATE_RequiredDate,BDOQOO_QuantityOrdered,BDIUOM_UnitOfMeasure,BDCQOO_ConfirmedQuantity,BDOOQ_OtherOrderedQuantity,BDTIQR_TimeInQueue,BDPOCDATE_PurchaseOrderDate,BDRCCDATE_ReceiptConfirmationDate
516165,247,"MAGELLAN CORPORATION               ",C,51986,"12.500 BAR HF 4140 110 KSI NQT     ",20230918,100.417,"FT ",0.000,40000.000,89.917,20230404,20230918
515488,571,"TREK METALS INC                    ",C,51987,"12.500 BAR HF 4140 110 KSI QT++    ",20221230,100.417,"FT ",0.000,40000.000,99.418,20221004,20221219
515214,571,"TREK METALS INC                    ",C,51987,"12.500 BAR HF 4140 110 KSI QT++    ",20220912,40.167,"FT ",0.000,20000.000,42.250,20220802,20220922
513847,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51991,"12.500 9.250 1.625 HF 4130M 125KSI ",20221220,430.167,"FT ",0.000,80000.000,511.501,20220223,20230111
512720,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51993,"11.000 6.000 2.500 HF 4130  AR++   ",20220429,80.333,"FT ",0.000,20000.000,86.333,20210930,20220712
518163,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",A,51994,"16.000 13.000 1.500 HF 4130 80KSI  ",20250430,181.500,"FT ",181.500,40000.000,0.000,20241008,0
514539,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51994,16.000 13.000 1.500 HF 4130 LN80 QT,20221231,80.000,"FT ",0.000,20000.000,112.751,20220428,20230306
514875,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51995,"6.000 4.000 1.000 HF 4140 110KSI Q ",20221215,1506.250,"FT ",0.000,80000.000,1477.167,20220603,20230417
516127,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51996,"11.000 7.000 2.000 HF 4140 125KSI  ",20231006,200.833,"FT ",0.000,40000.000,232.084,20230323,20231025
514394,538,"GLOBAL FORMING TECHNOLOGIES LTD    ",C,51996,"11.000 7.000 2.000 HF 4140 125KSI  ",20230106,420.000,"FT ",0.000,80000.000,114.918,20220414,20230313
