IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AT19.500-04.750 HF 8630 85 KSI QT                                     ",51090,19.5000,4.7500,7.3750,"HF  8630 85 KSI QT            ",955.040,0.0000,0.000,0.000,0.000,"19.500 OD 4.750 ID 7.375 WALL ",PLI,"DEFAULT                            "
"AT19.500-04.750 HF F22  80 KSI NQT                                    ",52654,19.5000,4.7500,7.3750,"HF F22  80 KSI NQT            ",955.040,2485.5268,0.667,0.000,0.000,"19.500 OD 4.750 ID 7.375 WALL ",PLI,"DEFAULT                            "
"AT20.000-04.750 HF 8630M NQT 212/235                                  ",52459,20.0000,4.7500,7.6250,"HF 8630M  NQT 212/235         ",1007.773,0.0000,7.583,0.000,0.000,"20.000 OD 4.750 ID 7.625 WALL ",PLI,"DEFAULT                            "
"AT20.000-09.000 HF 4340 P110 NQT 285/341                              ",51476,20.0000,9.0000,5.5000,"HF 4340 P110 NQT 285/341      ",851.743,0.0000,2.417,0.000,0.000,"20.000 OD 9.000 ID 5.500 WALL ",PLI,"DEFAULT                            "
"AT20.000-12.000 HF 4130 80 KSI NQT                                    ",51320,20.0000,12.0000,4.0000,"HF 4130 80 KSI NQT            ",683.530,0.0000,19.812,0.000,0.000,20.000 OD 12.000 ID 4.000 WALL,PLI,"STB01                              "
"AT20.000-12.250 HF 4130 75 KSI QT                                     ",51563,20.0000,12.2500,3.8750,"HF 4130 75 KSI QT             ",667.343,0.0000,0.000,0.000,0.000,20.000 OD 12.250 ID 3.875 WALL,PLI,"DEFAULT                            "
"AT20.000-13.750 HF 4130  NQT 207/237                                  ",51825,20.0000,13.7500,3.1250,"HF 4130  NQT 207/237          ",563.211,0.0000,0.000,0.000,0.000,20.000 OD 13.750 ID 3.125 WALL,PLI,"DEFAULT                            "
"AT20.000-14.000 HF 4140 110KSI QT                                     ",52533,20.0000,14.0000,3.0000,"HF 4140 110KSI QT             ",544.688,1816.8153,0.000,0.000,0.000,20.000 OD 14.000 ID 3.000 WALL,PLI,"DEFAULT                            "
"AT20.000-14.000 HF 4140 AR                                            ",52531,20.0000,14.0000,3.0000,"HF 4140 AR                    ",544.688,1296.4194,0.000,0.000,0.000,20.000 OD 14.000 ID 3.000 WALL,PLI,"DEFAULT                            "
"AT20.000-17.000 HF 4140  AR                                           ",52249,20.0000,17.0000,1.5000,"HF 4140  AR                   ",296.374,788.7658,0.000,0.000,0.000,20.000 OD 17.000 ID 1.500 WALL,PLI,"DEFAULT                            "
"AT20.000-17.000 HF 4140 L80 NQT                                       ",52250,20.0000,17.0000,1.5000,"HF 4140 L80..                 ",296.374,958.4565,101.750,0.000,0.000,20.000 OD 17.000 ID 1.500 WALL,PLI,"DEFAULT                            "
"AT20.000-17.500 HF API J55 QT                                         ",51009,20.0000,17.5000,1.2500,"HF API J55..                  ",250.316,494.8543,8.501,0.000,0.000,20.000 OD 17.500 ID 1.250 WALL,PLI,"DEFAULT                            "
"AT20.000-17.500 HF API K55                                            ",52464,20.0000,17.5000,1.2500,"HF API K55                    ",250.316,0.0000,2.000,0.000,0.000,20.000 OD 17.500 ID 1.250 WALL,PLI,"DEFAULT                            "
"AT20.000-18.376 HF API X56                                            ",50815,20.0000,18.3760,0.8120,"HF API X56..                  ",166.404,112.8086,3.750,0.000,0.000,"20.000 OD 18.376 ID .812 WALL ",PLI,"DEFAULT                            "
"AT20.000-18.750 HF API X56                                            ",50690,20.0000,18.7500,0.3100,"HF API X56                    ",129.330,0.0000,0.000,0.000,0.000,"20.000 OD 18.750 ID .310 WALL ",PLI,"DEFAULT                            "
"AT20.158-16.140 HF 4130M LN80 NQT                                     ",50962,20.1580,16.1400,2.0090,"HF 4130M LN80 NQT             ",389.413,449.4003,0.000,0.000,0.000,20.158 OD 16.140 ID 2.009 WALL,PLI,"STB09                              "
"AT20.250-04.750 HF 8630 NQT/SR 212/235                                ",52321,20.2500,4.7500,7.7500,"HF 8630 NQT/SR 212/235        ",1034.640,0.0000,0.000,0.000,0.000,"20.250 OD 4.750 ID 7.750 WALL ",PLI,"DEFAULT                            "
"AT20.500-12.000 HF 4130 80 KSI NQT                                    ",51308,20.5000,12.0000,4.2500,"HF  4130 80 KSI NQT           ",737.598,0.0000,0.000,0.000,0.000,20.500 OD 12.000 ID 4.250 WALL,PLI,"STB04                              "
"AT21.000-06.000 HF 8630 235 QT                                        ",50775,21.0000,6.0000,7.5000,"HF 8630 235 QT                ",1081.366,0.0000,0.000,0.000,0.000,"21.000 OD 6.000 ID 7.500 WALL ",PLI,"DEFAULT                            "
"AT21.000-17.000 HF 4140 NORM                                          ",50902,21.0000,17.0000,2.0000,"HF 4140 NORM                  ",405.846,693.9372,0.000,0.000,0.000,21.000 OD 17.000 ID 2.000 WALL,PLI,"STB07                              "
"AT21.000-18.000 HF 4140  NORM                                         ",51515,21.0000,18.0000,1.5000,"HF 4140  NORM                 ",312.395,710.7489,0.000,0.000,0.000,21.000 OD 18.000 ID 1.500 WALL,PLI,"DEFAULT                            "
"AT21.000-18.000 HF 4140 K55 QT                                        ",50533,21.0000,18.0000,1.5000,"HF 4140 K55 QT                ",312.395,874.9287,0.000,0.000,0.000,21.000 OD 18.000 ID 1.500 WALL,PLI,"DEFAULT                            "
"AT22.000-18.000 HF 4130 75 KSI NQT                                    ",52410,22.0000,18.0000,2.0000,"HF 4130 75 KSI NQT            ",427.206,0.0000,0.750,0.000,0.000,22.000 OD 18.000 ID 2.000 WALL,PLI,"STB18                              "
"AT22.000-18.000 HF 4140  NQT 241 MAX BHN                              ",52179,22.0000,18.0000,2.0000,"HF 4140  NQT 241 MAX BHN      ",427.206,0.0000,0.000,0.000,0.000,22.000 OD 18.000 ID 2.000 WALL,PLI,"DEFAULT                            "
"AT22.000-18.000 HF 4140 L80 QT                                        ",52412,22.0000,18.0000,2.0000,"HF 4140 L80 QT                ",427.206,0.0000,0.000,0.000,0.000,22.000 OD 18.000 ID 2.000 WALL,PLI,"STB05                              "
"AT22.000-19.000 HF 4140 80 KSI NQT                                    ",51344,22.0000,19.0000,1.5000,"HF 4140 80 KSI NQT            ",328.415,0.0000,0.000,0.000,0.000,22.000 OD 19.000 ID 1.500 WALL,PLI,"DEFAULT                            "
"AT22.000-21.000 HF API X65                                            ",52522,22.0000,21.0000,0.5000,"HF API X65                    ",114.812,0.0000,15.333,0.000,0.000,"22.000 OD 21.000 ID .500 WALL ",PLI,"DEFAULT                            "
"AT24.000-22.000 HF API X56                                            ",51313,24.0000,22.0000,1.0000,"HF  API X56                   ",245.644,0.0000,0.000,0.000,0.000,24.000 OD 22.000 ID 1.000 WALL,PLI,"DEFAULT                            "
"AT26.000-24.000 HF API X65                                            ",52525,26.0000,24.0000,1.0000,"HF API X65                    ",267.004,0.0000,29.416,0.000,0.000,26.000 OD 24.000 ID 1.000 WALL,PLI,"DEFAULT                            "
"AT27.250-10.000 HF 4130 80 KSI NQT                                    ",51862,27.2500,10.0000,8.6250,"HF 4130 80 KSI NQT            ",1715.667,0.0000,3.167,0.000,0.000,27.250 OD 10.000 ID 8.625 WALL,PLI,"STB18                              "
"AT28.000-26.500 HF API X60                                            ",51164,28.0000,26.5000,0.7500,"HF  API X60                   ",218.276,0.0000,2.917,0.000,0.000,"28.000 OD 26.500 ID .750 WALL ",PLI,"DEFAULT                            "
"AT30.000-27.000 HF API X65                                            ",50895,30.0000,27.0000,1.5000,"HF API X65                    ",456.577,0.0000,0.000,0.000,0.000,30.000 OD 27.000 ID 1.500 WALL,PLI,"DEFAULT                            "
"CB01.000-00.000 HF 420M 80 KSI QDT                                    ",52570,1.0000,0.0000,0.0000,"HF 420M 80 KSI QDT            ",2.670,0.0000,34.750,0.000,0.000,"1.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB02.750-00.000 HF 420M 80KSI QT                                      ",50979,2.7500,0.0000,0.0000,"HF 420M 80KSI QT              ",20.192,0.0000,3.750,0.000,0.000,"2.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB03.000-00.000 HF 420M L80 QT                                        ",50600,3.0000,0.0000,0.0000,"HF 420M L80 QT                ",24.030,0.0000,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB03.000-00.000 HF 9CR                                                ",50741,3.0000,0.0000,0.0000,"HF 9CR                        ",24.030,0.0000,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB03.000-00.000 HF S-13CR 95 KSI QT                                   ",51620,3.0000,0.0000,0.0000,"HF S-13Cr 95 KSI QT           ",24.030,0.0000,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB03.250-00.000 HF 13CR 95 KSI QT                                     ",51552,3.2500,0.0000,0.0000,"HF 13Cr 95 KSI QT             ",28.202,0.0000,0.000,0.000,0.000,"3.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB03.250-00.000 HF 420M 80 KSI QT                                     ",51498,3.2500,0.0000,0.0000,"HF 420M 80 KSI QT             ",28.202,0.0000,6.583,0.000,0.000,"3.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB03.250-00.000 HF 9CR 80KSI                                          ",50816,3.2500,0.0000,0.0000,"HF 9CR 80KSI                  ",28.202,29.0514,0.000,0.000,0.000,"3.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB03.500-00.000 HF 9CR-1MO L80                                        ",50915,3.5000,0.0000,0.0000,"HF 9CR-1MO L80                ",32.708,0.0000,0.000,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB04.000-00.000 HF 9CR 80K                                            ",50801,4.0000,0.0000,0.0000,"HF 9CR 80K                    ",42.721,48.5213,0.000,0.000,0.000,"4.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB04.250-00.000 HF 13CR 80 KSI                                        ",52675,4.2500,0.0000,0.0000,"HF 13Cr 80 KSI                ",48.228,0.0000,21.502,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB04.250-00.000 HF 420M L80 QT                                        ",50475,4.2500,0.0000,0.0000,"HF 420M L80 QT                ",48.228,301.8333,1.500,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB04.250-00.000 HF 9CR 80KSI QT                                       ",50974,4.2500,0.0000,0.0000,"HF 9CR 80KSI QT               ",48.228,0.0000,0.000,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB04.250-00.000 HF S-13CR 95 KSI QT                                   ",52671,4.2500,0.0000,0.0000,"HF S-13Cr 95 KSI QT           ",48.228,0.0000,10.583,0.000,0.000,"4.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB04.500-00.000 HF S-13CR 95 KSI QT                                   ",51383,4.5000,0.0000,0.0000,"HF S-13Cr 95 KSI QT           ",54.068,0.0000,0.000,0.000,0.000,"4.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB04.750-00.000 HF 420M  NQT 262/301                                  ",51566,4.7500,0.0000,0.0000,"HF 420M  NQT 262/301          ",60.243,0.0000,6.667,0.000,0.000,"4.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB05.000-00.000 HF 420M L80 QT                                        ",51653,5.0000,0.0000,0.0000,"HF 420M L80 QT                ",66.751,131.5502,0.000,0.000,0.000,"5.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB05.000-00.000 HF S-13CR 95 KSI QT                                   ",51303,5.0000,0.0000,0.0000,"HF  S-13Cr 95 KSI QT          ",66.751,0.0000,0.000,0.000,0.000,"5.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB05.250-00.000 HF 420M 80KSI QT                                      ",52493,5.2500,0.0000,0.0000,"HF 420M 80KSI QT              ",73.593,0.0000,0.667,0.000,0.000,"5.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB05.250-00.000 HF S-13CR 110 KSI QT                                  ",51651,5.2500,0.0000,0.0000,"HF S-13Cr 110 KSI QT          ",73.593,0.0000,0.000,0.000,0.000,"5.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB05.500-00.000 HF S13CR 110 KSI QT                                   ",50976,5.5000,0.0000,0.0000,"HF S13Cr 110 KSI QT           ",80.769,227.6384,0.000,0.000,0.000,"5.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB05.750-00.000 HF 420M  NQT 262/301                                  ",51564,5.7500,0.0000,0.0000,"HF 420M  NQT 262/301 BHN      ",88.278,0.0000,0.000,0.000,0.000,"5.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB05.750-00.000 HF S-13CR 110KSI                                      ",51679,5.7500,0.0000,0.0000,"HF S-13Cr 110KSI              ",88.278,0.0000,4.750,0.000,0.000,"5.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.000-00.000 HF 420M 80KSI                                         ",50676,6.0000,0.0000,0.0000,"HF 420M 80KSI                 ",96.121,0.0000,0.000,0.000,0.000,"6.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.000-00.000 HF 420M 80KSI QT                                      ",50921,6.0000,0.0000,0.0000,"HF 420M 80KSI QT              ",96.121,0.0000,0.000,0.000,0.000,"6.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.250-00.000 HF 420M 80 KSI QT                                     ",51034,6.2500,0.0000,0.0000,"HF 420M 80 KSI QT             ",104.298,0.0000,0.000,0.000,0.000,"6.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.250-00.000 HF S-13CR 110 KSI QT                                  ",52364,6.2500,0.0000,0.0000,"HF S-13Cr 110 KSI QT          ",104.298,0.0000,2.750,0.000,0.000,"6.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.500-00.000 HF 420M  NQT 262/301                                  ",51579,6.5000,0.0000,0.0000,"HF 420M  NQT 262/301          ",112.809,0.0000,14.083,0.000,0.000,"6.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.500-00.000 HF 420M 80KSI NQT                                     ",50540,6.5000,0.0000,0.0000,"HF 420M 80KSI NQT             ",112.809,0.0000,7.666,0.000,0.000,"6.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.500-00.000 HF S13CR-110K                                         ",50720,6.5000,0.0000,0.0000,"HF S13CR-110K                 ",112.809,308.1878,0.000,0.000,0.000,"6.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.750-00.000 HF 420M 80KSI NQT                                     ",50541,6.7500,0.0000,0.0000,"HF 420M 80KSI NQT             ",121.654,0.0000,0.000,0.000,0.000,"6.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.750-00.000 HF 9CR 1M 80 KSI QT                                   ",51469,6.7500,0.0000,0.0000,"HF 9CR 1M 80 KSI QT           ",121.654,0.0000,0.000,0.000,0.000,"6.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.750-00.000 HF S-13CR 110 KSI                                     ",51636,6.7500,0.0000,0.0000,"HF S-13Cr 110 KSI             ",121.654,0.0000,0.000,0.000,0.000,"6.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB06.750-00.000 HF S-13CR 95 KSI QT                                   ",51094,6.7500,0.0000,0.0000,"HF  S-13Cr 95 KSI QT          ",121.654,409.9239,0.000,0.000,0.000,"6.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB07.000-00.000 HF 9CR 80 KSI QT/SR                                   ",51510,7.0000,0.0000,0.0000,"HF 9CR 80 KSI QT/SR           ",130.832,164.4206,0.000,0.000,0.000,"7.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB07.000-00.000 HF S-13CR 110 KSI QT                                  ",51388,7.0000,0.0000,0.0000,"HF S-13Cr 110 KSI QT          ",130.832,582.8775,0.000,0.000,0.000,"7.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB07.000-00.000 HF S-13CR 95 KSI QT                                   ",51863,7.0000,0.0000,0.0000,"HF S-13Cr 95 KSI QT           ",130.832,0.0000,6.000,0.000,0.000,"7.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB08.000-00.000 HF 420M 80 KSI QT                                     ",51061,8.0000,0.0000,0.0000,"HF 420M 80 KSI QT             ",170.883,0.0000,1.167,0.000,0.000,"8.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB08.500-00.000 HF 25 CR 80 KSI QT                                    ",52094,8.5000,0.0000,0.0000,"HF 25 CR 80 KSI QT            ",192.910,1391.8543,0.000,0.000,0.000,"8.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB08.500-00.000 HF 420M 85 KSI QT                                     ",51038,8.5000,0.0000,0.0000,"HF 420M 85 KSI QT             ",192.910,494.9252,4.083,0.000,0.000,"8.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB08.750-00.000 HF 420M 80 KSI HARDENED/DT                            ",52331,8.7500,0.0000,0.0000,"HF 420M 80 KSI HARDENED/DT    ",204.425,487.3674,24.833,0.000,10.833,"8.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB08.750-00.000 HF S-13CR 110 KSI                                     ",52676,8.7500,0.0000,0.0000,"HF S-13Cr 110 KSI             ",204.425,0.0000,2.500,0.000,0.000,"8.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB08.750-00.000 HF S13CR-95KSI QT                                     ",50890,8.7500,0.0000,0.0000,"HF S13CR-95KSI QT             ",204.425,662.7046,0.000,0.000,0.000,"8.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB08.750-00.000 HF S25CR 80KSI QT                                     ",51535,8.7500,0.0000,0.0000,"HF S25CR 80KSI QT             ",204.425,830.0417,0.000,0.000,0.000,"8.750 ROUND BAR               ",PLI,"DEFAULT                            "
"CB09.000-00.000 HF 25CR 80K                                           ",52380,9.0000,0.0000,0.0000,"HF 25CR 80K                   ",216.273,1291.3021,21.001,0.000,0.000,"9.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB09.000-00.000 HF S13CR 110 KSI QT                                   ",50968,9.0000,0.0000,0.0000,"HF S13CR 110 KSI QT           ",216.273,593.5785,0.000,0.000,0.000,"9.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB09.000-00.000 HF S13CR 95KSI QT                                     ",50900,9.0000,0.0000,0.0000,"HF S13CR 95KSI QT             ",216.273,695.8876,0.000,0.000,0.000,"9.000 ROUND BAR               ",PLI,"DEFAULT                            "
"CB09.250-00.000 HF 420M 80 KSI QDT                                    ",52071,9.2500,0.0000,0.0000,"HF 420M 80 KSI QDT            ",228.455,466.0503,19.417,0.000,0.000,"9.250 ROUND BAR               ",PLI,"DEFAULT                            "
"CB09.500-00.000 HF 420M 80 KSI QDT                                    ",51649,9.5000,0.0000,0.0000,"HF 420M 80 KSI QDT            ",240.971,0.0000,1.583,0.000,0.000,"9.500 ROUND BAR               ",PLI,"DEFAULT                            "
"CB09.840-00.000 HF 25 CR 80 KSI                                       ",52307,9.8400,0.0000,0.0000,"HF 25 CR 80 KSI               ",258.528,0.0000,0.000,0.000,0.000,"9.840 ROUND BAR               ",PLI,"DEFAULT                            "
"CT02.200-01.610 CD 9CR L80 QT                                         ",50918,2.2000,1.6100,0.2950,"CD 9CR L80 QT..               ",6.002,26.2584,407.917,0.000,0.000,"2.200 OD 1.610 ID .295 WALL   ",PLI,"DEFAULT                            "
"CT02.700-02.250 HF 13CR L80 QT                                        ",50850,2.7000,2.2500,0.2250,"HF 13Cr L80 QT                ",4.566,0.0000,67.667,0.000,0.000,"2.700 OD 2.250 ID .225 WALL   ",PLI,"DEFAULT                            "
"CT02.710-01.950 CD 13CR L80 QT                                        ",50836,2.7100,1.9500,0.3800,"CD 13CR L80 QT..              ",9.456,34.8833,4.583,0.000,0.000,"2.710 OD 1.950 ID .380 WALL   ",PLI,"DEFAULT                            "
"CT02.800-01.775 CD 9CR 1M 80KSI QT                                    ",50345,2.8000,1.7750,0.5130,"CD 9CR 1M 80KSI QT            ",12.521,47.4925,0.000,0.000,0.000,"2.800 OD 1.775 ID .513 WALL   ",PLI,"DEFAULT                            "
"CT03.000-01.500 CD 9CR 1M 110KSI QT                                   ",50579,3.0000,1.5000,0.7500,"CD 9CR 1M 110KSI QT           ",18.023,89.5816,0.000,0.000,0.000,"3.000 OD 1.500 ID .750 WALL   ",PLI,"DEFAULT                            "
"CT03.500-02.992 HF 13CR L80                                           ",52499,3.5000,2.9920,0.2540,"HF 13Cr L80                   ",8.806,0.0000,5.833,0.000,0.000,"3.500 OD 2.992 ID .254 WALL   ",PLI,"DEFAULT                            "
"CT03.500-02.992 HF HP1 13CR 110 KSI                                   ",51656,3.5000,2.9920,0.2540,"HF HP1 13Cr 110 KSI           ",8.806,0.0000,18.250,0.000,0.000,"3.500 OD 2.992 ID .254 WALL   ",PLI,"DEFAULT                            "
"CT03.583-02.057 HF 13CR 80 KSI QT                                     ",51668,3.5830,2.0570,0.7630,"HF 13Cr 80 KSI QT             ",22.980,0.0000,0.000,0.000,0.000,"3.583 OD 2.057 ID .763 WALL   ",PLI,"DEFAULT                            "
"CT03.883-02.963 CD 13CR L80 QT                                        ",50402,3.8830,2.9630,0.4600,"CD 13Cr L80 QT                ",16.817,60.7257,0.000,0.000,0.000,"3.883 OD 2.963 ID .460 WALL   ",PLI,"DEFAULT                            "
"CT04.350-02.000 HF HP-2 13CR 110KSI QT                                ",52624,4.3500,2.0000,0.9250,"HF HP-2 13CR 110KSI QT++      ",39.844,0.0000,0.000,0.000,0.000,"4.350 OD 2.000 ID .925 WALL   ",PLI,"DEFAULT                            "
"CT05.000-04.270 HF 13CR L80 QT                                        ",51586,5.0000,4.2700,0.3650,"HF 13Cr L80 QT                ",18.068,0.0000,20.000,0.000,0.000,"5.000 OD 4.270 ID .365 WALL   ",PLI,"DEFAULT                            "
"CT05.250-03.750 HF HP-2 13CR 110KSI QT                                ",52623,5.2500,3.7500,0.7500,"HF HP-2 13CR 110KSI QT++      ",36.046,0.0000,0.000,0.000,0.000,"5.250 OD 3.750 ID .750 WALL   ",PLI,"DEFAULT                            "
"CT05.590-04.705 HF 420M 80 KSI                                        ",51060,5.5900,4.7050,0.6225,"HF 420M 80 KSI                ",24.327,0.0000,0.000,0.000,0.000,"5.590 OD 4.705 ID .623 WALL   ",PLI,"DEFAULT                            "
"CT05.750-03.750 HF HP-2 13CR 110KSI QT                                ",52622,5.7500,3.7500,1.0000,"HF HP-2 13CR 110KSI QT++      ",50.731,0.0000,0.000,0.000,0.000,"5.750 OD 3.750 ID 1.000 WALL  ",PLI,"DEFAULT                            "
"CT06.250-04.705 HF 420M 80KSI                                         ",52736,6.2500,4.7050,0.7725,"HF 420M 80KSI                 ",45.192,0.0000,11.583,0.000,0.000,"6.250 OD 4.705 ID .773 WALL   ",PLI,"DEFAULT                            "
"CT06.417-04.291 CD 13CR L80 QT                                        ",50648,6.4170,4.2910,1.0630,"CD 13CR L80 QT                ",60.784,0.0000,0.000,0.000,0.000,"6.417 OD 4.291 ID 1.063 WALL  ",PLI,"DEFAULT                            "
"CT07.000-05.250 HF HP-2 13CR 110KSI QT                                ",52621,7.0000,5.2500,0.8750,"HF HP-2 13CR 110KSI QT++      ",57.239,0.0000,0.000,0.000,0.000,"7.000 OD 5.250 ID .875 WALL   ",PLI,"DEFAULT                            "
"CT07.500-05.750 HF 420M QT                                            ",51037,7.5000,5.7500,0.8750,"HF 420M QT                    ",61.912,0.0000,31.334,0.000,0.000,"7.500 OD 5.750 ID .875 WALL   ",PLI,"DEFAULT                            "
"CT07.508-05.634 HF 13CR 95 KSI QT                                     ",50843,7.5080,5.6340,0.9370,"HF 13CR 95 KSI QT             ",65.758,0.0000,0.000,0.000,0.000,"7.508 OD 5.634 ID .937 WALL   ",PLI,"DEFAULT                            "
"CT07.750-05.500 HF HP-2 13CR 110KSI QT                                ",52620,7.7500,5.5000,1.1250,"HF HP-2 13CR 110KSI QT++      ",79.601,0.0000,0.000,0.000,0.000,"7.750 OD 5.500 ID 1.125 WALL  ",PLI,"DEFAULT                            "
"FRT                                                                   ",50678,1.0000,1.0000,1.0000,"FREIGHT CHARGES               ",0.000,0.0000,0.000,0.000,0.000,"FREIGHT CHARGES               ","   ","DEFAULT                            "
"KB00.313-00.000 HF 1018                                               ",51954,0.3130,0.0000,0.0000,"HF 1018                       ",0.262,0.0000,0.000,0.000,0.000,".313 ROUND BAR                ",PLI,"DEFAULT                            "
"KB00.375-00.000 HF 1018                                               ",51779,0.3750,0.0000,0.0000,"HF 1018                       ",0.375,0.0000,0.000,0.000,0.000,".375 ROUND BAR                ",PLI,"DEFAULT                            "
"KB00.750-00.000 CF 1018  AR                                           ",52431,0.7500,0.0000,0.0000,"CF 1018  AR                   ",1.502,0.0000,17.167,0.000,0.000,".750 ROUND BAR                ",PLI,"DEFAULT                            "
"KB01.000-00.000 HF 1018  AR                                           ",51345,1.0000,0.0000,0.0000,"HF 1018  AR                   ",2.670,0.0000,0.000,0.000,0.000,"1.000 ROUND BAR               ",PLI,"DEFAULT                            "
"KB01.250-00.000 HF 1018 AR                                            ",50888,1.2500,0.0000,0.0000,"HF 1018 AR                    ",4.172,0.0000,32.667,0.000,1.250,"1.250 ROUND BAR               ",PLI,"DEFAULT                            "
"KB01.375-00.000 HF H13                                                ",52684,1.3750,0.0000,0.0000,"HF H13                        ",5.048,0.0000,8.750,0.000,0.000,"1.375 ROUND BAR               ",PLI,"DEFAULT                            "
"KB01.500-00.000 HF 1018                                               ",52388,1.5000,0.0000,0.0000,"HF 1018                       ",6.008,0.0000,0.333,0.000,0.000,"1.500 ROUND BAR               ",PLI,"DEFAULT                            "
"KB01.500-00.000 HF A36 CARBON HR                                      ",52501,1.5000,0.0000,0.0000,"HF A36 CARBON HR              ",6.008,0.0000,11.667,0.000,0.000,"1.500 ROUND BAR               ",PLI,"DEFAULT                            "
"KB02.500-00.000 HF D2                                                 ",52441,2.5000,0.0000,0.0000,"HF D2                         ",16.688,0.0000,0.000,0.000,0.000,"2.500 ROUND BAR               ",PLI,"DEFAULT                            "
"KB03.000-00.000 HF 1018  AR                                           ",51350,3.0000,0.0000,0.0000,"HF 1018  AR                   ",24.030,15.4001,0.000,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"KB03.000-00.000 HF 1045  AR                                           ",51356,3.0000,0.0000,0.0000,"HF 1045  AR.                  ",24.030,16.2200,282.084,0.000,0.000,"3.000 ROUND BAR               ",PLI,"DEFAULT                            "
"KB03.250-00.000 HF 1018  AR                                           ",51505,3.2500,0.0000,0.0000,"HF 1018  AR                   ",28.202,18.0521,23.249,0.000,0.250,"3.250 ROUND BAR               ",PLI,"DEFAULT                            "
"KB03.250-00.000 HF 1045  AR                                           ",52314,3.2500,0.0000,0.0000,"HF 1045  AR                   ",28.202,22.8695,0.000,0.000,0.000,"3.250 ROUND BAR               ",PLI,"DEFAULT                            "
"KB03.250-00.000 HF 80-55-06                                           ",50706,3.2500,0.0000,0.0000,"HF 80-55-06..                 ",28.202,23.4248,357.002,0.000,0.000,"3.250 ROUND BAR               ",PLI,"DEFAULT                            "
"KB03.500-00.000 HF 1018  AR                                           ",52611,3.5000,0.0000,0.0000,"HF 1018  AR                   ",32.708,20.6084,92.916,0.000,0.000,"3.500 ROUND BAR               ",PLI,"DEFAULT                            "
"KB03.625-00.000 HF 1035  AR                                           ",52734,3.6250,0.0000,0.0000,"HF 1035  AR                   ",35.086,0.0000,0.000,575.000,20.000,"3.625 ROUND BAR               ",PLI,"DEFAULT                            "
