IMFSP2_ItemFamilyGroup,IMITEM_ItemNumber,IMSIZ1_SizeSpec1,IMSIZ2_SizeSpec2,IMSIZ3_SizeSpec3,IMDSC2_Description2,IMWPFT_WeightPerFoot,IOACST_AverageCost,IOQOH_QuantityOnHand,IOQOO_QuantityOnOrder,IOQ_TOTAL_TotalQuantityOnOrder,IMDSC1_Description1,IMWUOM_WeightUnitOfMeasure,IMCSMO_CostingModel
"AT18.000-14.000 HF 4130M 125KSI NQT                                   ",50650,18.0000,14.0000,2.0000,"HF 4130M 125KSI NQT           ",341.765,471.5795,12.916,0.000,0.000,18.000 OD 14.000 ID 2.000 WALL,PLI,"ES-MA-174-3                        "
"AT18.000-14.000 HF 4130M 80 KSI NQT                                   ",51639,18.0000,14.0000,2.0000,"HF 4130M 80 KSI NQT           ",341.765,472.5737,2.334,0.000,0.000,18.000 OD 14.000 ID 2.000 WALL,PLI,"STB09                              "
"AT18.000-14.000 HF 4130M NORM                                         ",50258,18.0000,14.0000,2.0000,"HF 4130M NORM                 ",341.765,457.2507,0.000,0.000,0.000,18.000 OD 14.000 ID 2.000 WALL,PLI,"STB08                              "
"AT18.000-14.000 HF 4130M NQT 80KSI                                    ",50649,18.0000,14.0000,2.0000,"HF 4130M NQT 80KSI++          ",341.765,643.5526,25.167,343.000,0.000,18.000 OD 14.000 ID 2.000 WALL,PLI,"STB09                              "
"AT18.000-14.000 HF 4130M7 125KSI NQT++                                ",50912,18.0000,14.0000,2.0000,"HF 4130M7 125KSI NQT++        ",341.765,641.4831,163.750,0.000,0.000,18.000 OD 14.000 ID 2.000 WALL,PLI,"ES-MA-174-3                        "
"AT18.000-14.000 HF 4140 NORM                                          ",50811,18.0000,14.0000,2.0000,"HF 4140 NORM                  ",341.765,545.2454,0.000,0.000,0.000,18.000 OD 14.000 ID 2.000 WALL,PLI,"STB07                              "
"AT18.000-15.000 HF 4140  NORM                                         ",51120,18.0000,15.0000,1.5000,"HF  4140  NORM                ",264.334,0.0000,0.000,0.000,0.000,18.000 OD 15.000 ID 1.500 WALL,PLI,"DEFAULT                            "
"AT18.000-15.500 HF 4140 AR                                            ",52686,18.0000,15.5000,1.2500,"HF 4140 AR                    ",223.616,0.0000,0.000,0.000,0.000,18.000 OD 15.500 ID 1.250 WALL,PLI,"DEFAULT                            "
"AT18.000-15.500 HF 4140 NQT 110-140 KSI                               ",51051,18.0000,15.5000,1.2500,"HF 4140 NQT 110-140 KSI       ",223.616,0.0000,0.000,0.000,0.000,18.000 OD 15.500 ID 1.250 WALL,PLI,"STB13                              "
"AT18.253-14.567 HF 4130M 80 KSI NQT                                   ",50953,18.2530,14.5670,1.8430,"HF 4130M 80                   ",323.007,727.0000,5.667,0.000,0.000,18.253 OD 14.567 ID 1.843 WALL,PLI,"STB09                              "
"AT18.253-14.567 HF 4130M LN80 NQT                                     ",50961,18.2530,14.5670,1.8430,"HF 4130M LN80 NQT             ",323.007,478.0576,12.416,0.000,0.000,18.253 OD 14.567 ID 1.843 WALL,PLI,"STB09                              "
"AT18.253-14.567 HF 4130M NORM                                         ",50951,18.2530,14.5670,1.8430,"HF 4130M NORM                 ",323.007,653.2841,2.667,0.000,0.000,18.253 OD 14.567 ID 1.843 WALL,PLI,"STB08                              "
"AT18.275-15.039 HF 4130 P110 QT                                       ",50944,18.2750,15.0390,1.6180,"HF 4130 P110 QT               ",287.841,0.0000,0.000,0.000,0.000,18.275 OD 15.039 ID 1.618 WALL,PLI,"STB02                              "
"AT18.275-15.039 HF 4130M 110 KSI QT                                   ",50977,18.2750,15.0390,1.6180,"HF 4130M 110..                ",287.841,477.3220,206.084,0.000,41.667,18.275 OD 15.039 ID 1.618 WALL,PLI,"STB10                              "
"AT18.500-14.500 HF 4130M 110-125KSI QT                                ",51633,18.5000,14.5000,2.0000,"HF 4130M 110-125KSI QT        ",352.445,477.5784,7.000,0.000,0.000,18.500 OD 14.500 ID 2.000 WALL,PLI,"STB10                              "
"AT18.500-14.500 HF 4130M P110/125 NQT++                               ",50963,18.5000,14.5000,2.0000,"HF 4130M 110/125 ++           ",352.445,631.8127,68.335,175.500,0.000,18.500 OD 14.500 ID 2.000 WALL,PLI,"STB10                              "
"AT18.500-16.000 HF 4140 125 KSI QT/SR                                 ",51030,18.5000,16.0000,1.2500,"HF 4140 125 KSI QT/SR         ",230.291,0.0000,0.000,0.000,0.000,18.500 OD 16.000 ID 1.250 WALL,PLI,"DEFAULT                            "
