QueryName,Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,Ship_To_Vendor_#_____BSSVEN,Multiple_SPO_____BSSPS#
"Sales analysis, SPO",1967853,DAVID POPHAM   ,A,100227,FAITH MANUFACTURING CO INC         ,20250312,50196,121.0,2.0
"Sales analysis, SPO",1967854,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20250305,52183,180.0,1.0
"Sales analysis, SPO",1967860,BEN HILTON     ,A,101061,LONGHORN MACHINE SHOP & MFG LLC    ,20250226,51066,465.0,1.0
"Sales analysis, SPO",1967861,DAVID POPHAM   ,A,100227,FAITH MANUFACTURING CO INC         ,20250228,50461,121.0,1.0
"Sales analysis, SPO",1967865,DAVID POPHAM   ,A,100227,FAITH MANUFACTURING CO INC         ,20250312,50190,465.0,1.0
"Sales analysis, SPO",1967865,DAVID POPHAM   ,A,100227,FAITH MANUFACTURING CO INC         ,20250312,50190,121.0,2.0
"Sales analysis, SPO",1967866,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,50572,121.0,1.0
"Sales analysis, SPO",1967866,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,50572,307.0,2.0
"Sales analysis, SPO",1967866,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,50572,119.0,3.0
"Sales analysis, SPO",1967869,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250328,50684,180.0,1.0
"Sales analysis, SPO",1967869,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250328,50684,121.0,2.0
"Sales analysis, SPO",1967869,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250328,50684,119.0,3.0
"Sales analysis, SPO",1967870,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250313,51414,465.0,1.0
"Sales analysis, SPO",1967870,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250313,51414,121.0,3.0
"Sales analysis, SPO",1967870,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250313,51414,119.0,4.0
"Sales analysis, SPO",1967877,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20250218,50318,119.0,1.0
"Sales analysis, SPO",1967887,DARREL THORMER ,A,100195,K & B INDUSTRIES                   ,20250306,52591,168.0,1.0
"Sales analysis, SPO",1967887,DARREL THORMER ,A,100195,K & B INDUSTRIES                   ,20250306,52591,121.0,2.0
"Sales analysis, SPO",1967888,DARREL THORMER ,A,100102,HUNTING ENERGY SERVICES            ,20250305,50094,465.0,1.0
"Sales analysis, SPO",1967891,CHRIS SITKA    ,A,100131,CNC MANUFACTURING                  ,20250307,50854,168.0,1.0
"Sales analysis, SPO",1967891,CHRIS SITKA    ,A,100131,CNC MANUFACTURING                  ,20250307,50854,121.0,2.0
"Sales analysis, SPO",1967895,BEN HILTON     ,A,100381,BLUELINE MANUFACTURING LLC         ,20250306,52001,121.0,1.0
"Sales analysis, SPO",1967897,BEN HILTON     ,A,100381,BLUELINE MANUFACTURING LLC         ,20250306,50411,121.0,1.0
"Sales analysis, SPO",1967898,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20250306,50298,121.0,1.0
"Sales analysis, SPO",1967898,BEN HILTON     ,A,100116,STEWART TUBULAR PRODUCTS INC       ,20250306,50298,119.0,2.0
"Sales analysis, SPO",1967900,BEN HILTON     ,A,101061,LONGHORN MACHINE SHOP & MFG LLC    ,20250225,50528,465.0,1.0
"Sales analysis, SPO",1967901,BEN HILTON     ,A,101145,HUNTING ENERGY SAUDI ARABIA LLC    ,20250306,50957,465.0,1.0
"Sales analysis, SPO",1967905,DAVID POPHAM   ,A,100227,FAITH MANUFACTURING CO INC         ,20250228,51919,121.0,1.0
"Sales analysis, SPO",1967912,SHAWN REYES    ,A,100417,TURN-TECH INC                      ,20250304,52142,121.0,1.0
"Sales analysis, SPO",1967914,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250227,50423,119.0,1.0
"Sales analysis, SPO",1967915,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250227,51846,119.0,1.0
"Sales analysis, SPO",1967917,DAVID POPHAM   ,A,100179,LIBERTY PRECISION COMPANY LLC      ,20250220,51153,119.0,1.0
"Sales analysis, SPO",1967918,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250327,50684,898.0,1.0
"Sales analysis, SPO",1967918,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250327,50684,121.0,2.0
"Sales analysis, SPO",1967918,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250327,50684,119.0,3.0
"Sales analysis, SPO",1967919,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51042,898.0,1.0
"Sales analysis, SPO",1967919,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51042,121.0,2.0
"Sales analysis, SPO",1967919,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51042,119.0,3.0
"Sales analysis, SPO",1967921,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51951,119.0,3.0
"Sales analysis, SPO",1967921,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51951,180.0,1.0
"Sales analysis, SPO",1967921,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51951,121.0,2.0
"Sales analysis, SPO",1967924,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250306,52400,119.0,1.0
"Sales analysis, SPO",1967928,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51951,180.0,1.0
"Sales analysis, SPO",1967928,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51951,121.0,2.0
"Sales analysis, SPO",1967928,BEN HILTON     ,A,100753,HALLIBURTON SINGAPORE              ,20250319,51951,119.0,3.0
"Sales analysis, SPO",1967929,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20250311,50603,119.0,1.0
