COLUMN,TYPE,DISTINCT VALUES,SAMPLE DATA,VALUES INFO (TOP N / RANGE / SINGLE),DB DATA TYPE,DB TYPE DETAILS,TOTAL ROWS,NULL COUNT,WHITESPACE-ONLY COUNT,NUL PCT,WHITESPACE PCT,IS UNIQUE / FLAG,SORTORDER
Unit_Weight_____ODUNTW,Flag (2 Values),2,"0.0 (151213), 1.0 (30)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,Flag,10
DAMAGED_MATERIAL___Y/N_____ODD,Date (Suffix),1,N (3183)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,148060,0.00%,97.90%,0,11
MOV_Pricing_Code_____ODABCC,Date (Suffix),0,N/A," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,11
REMOVE_RESERVE_DATE_CC_____ODRSCC,Date (Suffix),2,"20.0 (100492), 0.0 (50751)","20.0, 20.0, 20.0, 20.0, 20.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,11
REMOVE_RESERVE_DATE_DD_____ODRSDD,Date (Suffix),32,Distinct: 32,"7.0, 0.0, 0.0, 11.0, 10.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,11
REMOVE_RESERVE_DATE_MM_____ODRSMM,Date (Suffix),13,"0.0 (50751), 3.0 (10188), 1.0 (9601), 2.0 (9378), 4.0 (9006), 10.0 (8220), 11.0 (8091), 5.0 (8007), 12.0 (7970), 6.0 (7789)","6.0, 9.0, 5.0, 2.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,11
REMOVE_RESERVE_DATE_YY_____ODRSYY,Date (Suffix),8,"0.0 (50751), 23.0 (24589), 24.0 (19463), 22.0 (18399), 25.0 (18219), 21.0 (11637), 26.0 (5748), 20.0 (2437)","23.0, 0.0, 0.0, 23.0, 26.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,11
TOTAL_ADDTL_CHG_COST_____ODADCC,Date (Suffix),4,"0.0 (151240), -162.5 (1), 174.44 (1), 65.0 (1)","0.0, 0.0, 0.0, 0.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,11
TOTAL_PROCESS_COST_____ODPRCC,Date (Suffix),15029,Distinct: 15029,"0.0, 0.0, 0.0, 100.0, 0.0",nvarchar,(MAX),151243,0,0,0.00%,0.00%,0,11
ALLOY_____ODALOY,All Whitespace,0,(All Whitespace),"        ,         ,         ,         ,         ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
BACK_ORDER_UOM_____ODBKUM,All Whitespace,0,(All Whitespace),"   ,    ,    ,    ,    ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
Blanket_Ref_Item_____ODBITEM,All Whitespace,0,(All Whitespace),"     ,      ,      ,      ,      ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
BOL_Inventory_Removal_____ODBOLR,All Whitespace,0,(All Whitespace)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
BOL_Tags_Ship_Complete_____ODBOLS,All Whitespace,0,(All Whitespace)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
BOOKINGS_FLAG_Y/N_____ODBKFL,All Whitespace,0,(All Whitespace)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
CUST_MATL_SPEC_CD_____ODCMSP,All Whitespace,0,(All Whitespace),"               ,                ,                ,                ,                ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
EDI_TRANS_NUMBER_____ODEDI#,All Whitespace,0,(All Whitespace),"         ,          ,          ,          ,          ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
Extra_Flag_____ODFLAG1,All Whitespace,0,(All Whitespace)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
Extra_Flag_____ODFLAG2,All Whitespace,0,(All Whitespace)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
Extra_Flag_____ODFLAG3,All Whitespace,0,(All Whitespace)," ,  ,  ,  ,  ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
Heat_#_____ODHEAT,All Whitespace,0,(All Whitespace),"               ,                ,                ,                ,                ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
ITEM_SUB-CLASS_____ODSCLS,All Whitespace,0,(All Whitespace),"        ,         ,         ,         ,         ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
LIST_NUMBER_____ODLIST,All Whitespace,0,(All Whitespace),"     ,      ,      ,      ,      ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
Matl_Spec_____ODSPEC,All Whitespace,0,(All Whitespace),"               ,                ,                ,                ,                ",nvarchar,(MAX),151243,0,151243,0.00%,100.00%,0,12
